,Accession,Year,HC1100 (cgST Cplx),ST,HC2350 (subsp.),HC100,10 SNP Threshold,HC0 (indistinguishable),Clade,100 SNP Threshold,HC2,Sub-Clade,50 SNP Threshold,HC50,HC2000,Lineage,Sub-sub-sub-Clade,5 SNP Threshold,HC400,HC20,HC5,Sub-sub-Clade,HC200,Genotype,HC1500,0 SNP Threshold,250 SNP Threshold,HC10,SNP Address,25 SNP Threshold
11,SRR10019371,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,38.0,38.0,1.0,38.0,12.0,38.0,2820.0,2735.0,38.0,1.0,2816.0,33.0,2.0,38.0,2726.0,38.0,2820.0,1.0,2726.0,3.0,1.0,3.0
13,SRR10036691,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,2.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,103.0,2.0,734.0,2726.0,128.0,2820.0,2.0,2726.0,2.0,2.0,47.0
14,SRR10037522,2019.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,3.0,2816.0,19.0,3.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,18.0,2.0,681.0
15,SRR10037526,2019.0,2820.0,1.0,2820.0,2726.0,21.0,2.0,1032.0,859.0,2.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,18.0,2816.0,103.0,21.0,734.0,2726.0,128.0,2820.0,2.0,2726.0,22.0,2.0,21.0
16,SRR10037531,2019.0,2820.0,1.0,2820.0,2726.0,7.0,1.0,1656.0,1611.0,4.0,1656.0,79.0,1656.0,2820.0,2735.0,614.0,5.0,2816.0,91.0,6.0,614.0,2726.0,127.0,2820.0,1.0,2726.0,69.0,1.0,77.0
17,SRR10037533,2019.0,2820.0,1.0,2820.0,2726.0,21.0,2.0,1032.0,859.0,2.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,18.0,2816.0,103.0,21.0,734.0,2726.0,128.0,2820.0,2.0,2726.0,22.0,2.0,21.0
18,SRR10037861,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,21.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,19.0,1.0,734.0,2726.0,95.0,2820.0,1.0,2726.0,1.0,1.0,15.0
19,SRR10037874,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,18.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,18.0,2820.0,1.0,2726.0,10.0,1.0,15.0
20,SRR10049379,2019.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,2.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,2.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
21,SRR10049385,2019.0,2820.0,1.0,2820.0,9.0,1.0,1.0,9.0,9.0,1.0,9.0,4.0,9.0,2820.0,2735.0,9.0,1.0,2816.0,3.0,1.0,9.0,9.0,9.0,2820.0,1.0,9.0,1.0,1.0,3.0
22,SRR10049395,2019.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,3.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,7.0,1.0,12.0
23,SRR10049397,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,1.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,11.0,1.0,290.0
24,SRR10049402,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,18.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,18.0,2820.0,1.0,2726.0,1.0,1.0,1.0
25,SRR10049472,2019.0,2820.0,1.0,2820.0,2726.0,3.0,2.0,1032.0,859.0,2.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,3.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
26,SRR10053431,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,26.0,1.0,1032.0,4.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,4.0,2.0,734.0,2726.0,27.0,2820.0,1.0,2726.0,3.0,1.0,3.0
27,SRR10056637,2019.0,2820.0,1.0,2820.0,2726.0,13.0,3.0,1032.0,859.0,7.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,9.0,2816.0,163.0,13.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
29,SRR10081088,2019.0,2820.0,1.0,2820.0,2726.0,11.0,1.0,1656.0,1611.0,7.0,1656.0,79.0,1656.0,2820.0,2735.0,614.0,11.0,2816.0,91.0,10.0,614.0,2726.0,127.0,2820.0,2.0,2726.0,11.0,2.0,77.0
30,SRR10088443,2019.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,3.0,2816.0,19.0,3.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,18.0,2.0,681.0
31,SRR10088447,2019.0,2820.0,2.0,2820.0,70.0,2.0,2.0,20.0,17.0,2.0,20.0,14.0,18.0,2820.0,78.0,20.0,2.0,2816.0,16.0,2.0,20.0,78.0,20.0,2820.0,2.0,75.0,5.0,2.0,4.0
32,SRR10088449,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,859.0,2.0,1032.0,8.0,1005.0,2820.0,2735.0,28.0,2.0,2816.0,8.0,2.0,113.0,2726.0,25.0,2820.0,1.0,2726.0,2.0,1.0,6.0
33,SRR10088450,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,124.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,103.0,1.0,734.0,2726.0,128.0,2820.0,1.0,2726.0,1.0,1.0,1.0
34,SRR10088452,2019.0,2820.0,2.0,2820.0,70.0,2.0,2.0,20.0,17.0,2.0,20.0,14.0,18.0,2820.0,78.0,20.0,2.0,2816.0,16.0,2.0,20.0,78.0,20.0,2820.0,2.0,75.0,5.0,2.0,4.0
36,SRR10088458,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,955.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,2.0
37,SRR10088460,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,1.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,11.0,1.0,290.0
38,SRR10088462,2019.0,2820.0,1.0,2820.0,2726.0,13.0,3.0,1032.0,859.0,7.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,9.0,2816.0,163.0,13.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
39,SRR10088467,2019.0,2820.0,1.0,2820.0,2726.0,13.0,1.0,1032.0,859.0,7.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,9.0,2816.0,163.0,13.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
40,SRR10088468,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
41,SRR10088476,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,8.0,1.0,10.0
42,SRR10120175,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,22.0,1.0,47.0
43,SRR10120177,2019.0,2820.0,1.0,2820.0,2726.0,5.0,3.0,1656.0,1611.0,4.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,4.0,2816.0,955.0,6.0,1042.0,2726.0,455.0,2820.0,2.0,2726.0,7.0,2.0,681.0
44,SRR10120187,2019.0,2820.0,1.0,2820.0,2726.0,64.0,3.0,1032.0,859.0,3.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
45,SRR10120188,2019.0,2820.0,1.0,2820.0,2726.0,4.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,187.0,3.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,4.0,1.0,159.0
46,SRR10120190,2019.0,2820.0,1.0,2820.0,2726.0,59.0,1.0,1656.0,1611.0,12.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,2.0,2816.0,299.0,47.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
48,SRR10120197,2019.0,2820.0,2.0,2820.0,2726.0,107.0,2.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
52,SRR10133081,2019.0,2820.0,1.0,2820.0,2726.0,14.0,1.0,1032.0,859.0,1.0,1032.0,14.0,1005.0,2820.0,2735.0,28.0,2.0,2816.0,15.0,14.0,113.0,2726.0,25.0,2820.0,1.0,2726.0,14.0,1.0,14.0
53,SRR10133086,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,1.0
54,SRR10198850,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,187.0,2.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
57,SRR10212129,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,6.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,6.0,4.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,6.0,1.0,6.0
58,SRR10212132,2019.0,2820.0,1.0,2820.0,2726.0,11.0,1.0,1656.0,1611.0,7.0,1656.0,79.0,1656.0,2820.0,2735.0,614.0,11.0,2816.0,91.0,10.0,614.0,2726.0,127.0,2820.0,2.0,2726.0,11.0,2.0,77.0
60,SRR10212142,2019.0,2820.0,1.0,2820.0,2726.0,19.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,7.0,2816.0,33.0,12.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,31.0,1.0,33.0
61,SRR10212145,2019.0,2820.0,1.0,2820.0,2726.0,8.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,8.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,11.0,1.0,290.0
62,SRR10212151,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,20.0
63,SRR10212152,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,1.0
64,SRR10212177,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,21.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,19.0,1.0,734.0,2726.0,95.0,2820.0,1.0,2726.0,1.0,1.0,15.0
65,SRR10212189,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,29.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
67,SRR10212208,2019.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
68,SRR10212215,2019.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,3.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,4.0,2816.0,299.0,4.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
69,SRR10212222,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,20.0,1.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,7.0,1.0,734.0,2726.0,21.0,2820.0,1.0,2726.0,4.0,1.0,4.0
70,SRR10212223,2019.0,2820.0,1.0,2820.0,2726.0,64.0,2.0,1032.0,859.0,29.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,2.0,2726.0,118.0,2.0,159.0
71,SRR10212224,2019.0,2820.0,2.0,2820.0,2726.0,107.0,2.0,1656.0,1611.0,47.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
72,SRR10212225,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,681.0
75,SRR10219470,2019.0,2820.0,1.0,2820.0,2726.0,5.0,1.0,1656.0,1611.0,5.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,7.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,22.0,1.0,47.0
76,SRR10219474,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,13.0,1.0,34.0
79,SRR10228151,2019.0,2820.0,1.0,2820.0,70.0,1.0,1.0,20.0,17.0,1.0,20.0,14.0,18.0,2820.0,78.0,20.0,1.0,2816.0,16.0,1.0,20.0,78.0,20.0,2820.0,1.0,75.0,1.0,1.0,1.0
80,SRR10228154,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,3.0,1.0,3.0
81,SRR10228158,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,20.0,1.0,1032.0,20.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,31.0,1.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,16.0,1.0,16.0
84,SRR10228169,2019.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,73.0,2816.0,299.0,1.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
85,SRR10228512,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,8.0,1005.0,2820.0,2735.0,28.0,1.0,2816.0,8.0,1.0,113.0,2726.0,25.0,2820.0,1.0,2726.0,1.0,1.0,1.0
86,SRR10228514,2019.0,2820.0,1.0,2820.0,2726.0,6.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,13.0,1.0,34.0
87,SRR10228515,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,20.0,1.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,7.0,1.0,734.0,2726.0,21.0,2820.0,1.0,2726.0,4.0,1.0,4.0
88,SRR10228516,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,43.0,1.0,1656.0,42.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,44.0,1.0,614.0,2726.0,45.0,2820.0,1.0,2726.0,7.0,1.0,11.0
89,SRR10228517,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,1.0
90,SRR10228527,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,1.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,2.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
91,SRR10228554,2019.0,2820.0,1.0,2820.0,2726.0,11.0,1.0,1656.0,1611.0,1.0,1656.0,79.0,1656.0,2820.0,2735.0,614.0,11.0,2816.0,91.0,10.0,614.0,2726.0,127.0,2820.0,1.0,2726.0,11.0,1.0,77.0
92,SRR10228563,2019.0,2820.0,1.0,2820.0,2726.0,16.0,4.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,13.0,2816.0,163.0,16.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
93,SRR10228564,2019.0,2820.0,1.0,2820.0,2726.0,64.0,1.0,1032.0,859.0,29.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
94,SRR10231898,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1032.0,859.0,1.0,1032.0,21.0,1005.0,2820.0,2735.0,734.0,1.0,2816.0,19.0,1.0,734.0,2726.0,95.0,2820.0,1.0,2726.0,1.0,1.0,15.0
95,SRR10231904,2019.0,2820.0,1.0,2820.0,2726.0,107.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,2.0,2816.0,299.0,91.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
96,SRR10231913,2019.0,2820.0,1.0,2820.0,70.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,2820.0,78.0,4.0,1.0,2816.0,2.0,1.0,4.0,78.0,3.0,2820.0,1.0,75.0,1.0,1.0,2.0
97,SRR10231915,2019.0,2820.0,1.0,2820.0,2726.0,59.0,2.0,1656.0,1611.0,4.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,6.0,2816.0,299.0,6.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
98,SRR10231919,2019.0,2820.0,1.0,2820.0,2726.0,6.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,13.0,1.0,34.0
99,SRR10236641,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,47.0
101,SRR10236644,2019.0,2820.0,1.0,2820.0,2726.0,64.0,2.0,1032.0,859.0,29.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,2.0,2726.0,118.0,2.0,159.0
102,SRR10236645,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,2.0
104,SRR10236652,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,681.0
105,SRR10247126,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,681.0
107,SRR10247134,2019.0,2820.0,1.0,2820.0,2726.0,1.0,1.0,1656.0,1611.0,1.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,1.0,2816.0,955.0,1.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,1.0,1.0,9.0
108,SRR10247137,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,20.0,1.0,1032.0,20.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,31.0,2.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,2.0,1.0,16.0
109,SRR10247303,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1032.0,20.0,1.0,1032.0,20.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,31.0,2.0,734.0,2726.0,38.0,2820.0,1.0,2726.0,2.0,1.0,16.0
110,SRR10247320,2019.0,2820.0,1.0,2820.0,2726.0,3.0,2.0,1032.0,859.0,2.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,3.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
111,SRR10247325,2019.0,2820.0,1.0,2820.0,2726.0,5.0,1.0,1032.0,859.0,5.0,1032.0,36.0,1005.0,2820.0,2735.0,734.0,5.0,2816.0,36.0,5.0,734.0,2726.0,36.0,2820.0,1.0,2726.0,5.0,1.0,5.0
113,SRR10247336,2019.0,2820.0,1.0,2820.0,2726.0,3.0,1.0,1656.0,1611.0,1.0,1656.0,306.0,1656.0,2820.0,2735.0,614.0,1.0,2816.0,299.0,3.0,614.0,2726.0,306.0,2820.0,1.0,2726.0,210.0,1.0,290.0
115,SRR10247343,2019.0,2820.0,2.0,2820.0,2726.0,6.0,3.0,1656.0,1611.0,3.0,1656.0,1124.0,1656.0,2820.0,2735.0,614.0,3.0,2816.0,83.0,3.0,614.0,2726.0,126.0,2820.0,1.0,2726.0,78.0,1.0,77.0
116,SRR10247353,2019.0,2820.0,2.0,2820.0,2726.0,64.0,3.0,1032.0,859.0,3.0,1032.0,249.0,1005.0,2820.0,2735.0,734.0,43.0,2816.0,187.0,56.0,734.0,2726.0,259.0,2820.0,1.0,2726.0,118.0,1.0,159.0
117,SRR10247355,2019.0,2820.0,1.0,2820.0,2726.0,2.0,1.0,1656.0,1611.0,2.0,1656.0,1124.0,1656.0,2820.0,2735.0,455.0,2.0,2816.0,3.0,2.0,1042.0,2726.0,455.0,2820.0,1.0,2726.0,2.0,1.0,3.0
118,SRR10247373,2019.0,2820.0,1.0,2820.0,2726.0,2.0,2.0,1032.0,20.0,2.0,1032.0,7.0,1005.0,2820.0,2735.0,734.0,2.0,2816.0,7.0,2.0,734.0,2726.0,21.0,2820.0,2.0,2726.0,2.0,2.0,3.0
119,SRR10270574,2019.0,2820.0,1.0,2820.0,2726.0,16.0,1.0,1032.0,859.0,13.0,1032.0,164.0,1005.0,2820.0,2735.0,165.0,13.0,2816.0,163.0,16.0,185.0,2726.0,165.0,2820.0,1.0,2726.0,16.0,1.0,151.0
