,Accession,Year,HC2000,HC1100 (cgST Cplx),0 SNP Threshold,250 SNP Threshold,HC2350 (subsp.),HC1500,Sub-Clade,100 SNP Threshold,HC50,HC200,HC5,HC2,SNP Address,HC0 (indistinguishable),HC10,Clade,Lineage,5 SNP Threshold,10 SNP Threshold,Sub-sub-Clade,HC400,HC20,Genotype,ST,HC100,25 SNP Threshold,Sub-sub-sub-Clade,50 SNP Threshold
20,SRR10049379,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,19,95,1,2726,15,734,21
21,SRR10049385,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,10,1656,2735,2,2,1042,2816,955,18,1,2726,15,18,1124
22,SRR10049395,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,1,210,1656,2735,1,59,614,2816,299,306,1,2726,290,614,306
23,SRR10049397,2019,2820,2820,1,9,2820,2820,9,9,9,9,1,1,1,1,1,9,2735,1,1,9,2816,3,9,1,9,3,9,4
24,SRR10049402,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,1,1,1,7,1656,2735,1,4,1042,2816,955,455,1,2726,12,455,1124
25,SRR10049472,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,11,1656,2735,1,1,614,2816,299,306,1,2726,290,614,306
26,SRR10053431,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,18,1,2726,1,18,1124
27,SRR10056637,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,2,1,2,118,1032,2735,3,3,734,2816,187,259,1,2726,159,734,249
28,SRR10056645,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,11,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
29,SRR10081088,2019,2820,2820,1,2726,2820,2820,1032,26,1005,2726,2,1,1,1,3,1032,2735,1,1,734,2816,4,27,1,2726,3,734,4
30,SRR10088443,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,7,1,3,16,1032,2735,9,13,185,2816,163,165,1,2726,151,165,164
31,SRR10088447,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,42,1032,2735,1,1,734,2816,103,128,1,2726,47,734,124
32,SRR10088449,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,10,7,2,1,11,1656,2735,11,11,614,2816,91,127,1,2726,77,614,79
33,SRR10088450,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,3,2,2,1,18,1656,2735,3,3,1042,2816,19,455,1,2726,681,455,1124
34,SRR10088452,2019,2820,2820,2,75,2820,2820,20,17,18,78,2,2,2,2,5,20,78,2,2,20,2816,16,20,2,70,4,20,14
35,SRR10088453,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,28,9,1,2,29,1032,2735,22,28,113,2816,29,29,1,2726,29,31,29
36,SRR10088458,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,2,1,1,2,1032,2735,2,2,113,2816,8,25,1,2726,6,28,8
37,SRR10088460,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,103,128,1,2726,1,734,124
38,SRR10088462,2019,2820,2820,2,75,2820,2820,20,17,18,78,2,2,2,2,5,20,78,2,2,20,2816,16,20,2,70,4,20,14
39,SRR10088467,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,2,1656,2735,2,2,1042,2816,955,455,1,2726,2,455,1124
40,SRR10088468,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,1,1,1,2,1656,2735,2,2,1042,2816,955,455,1,2726,2,455,1124
41,SRR10088476,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,11,1656,2735,1,1,614,2816,299,306,1,2726,290,614,306
42,SRR10120175,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,7,1,3,16,1032,2735,9,13,185,2816,163,165,1,2726,151,165,164
43,SRR10120177,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,13,7,1,1,16,1032,2735,9,13,185,2816,163,165,1,2726,151,165,164
44,SRR10120187,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,1,1,1,118,1032,2735,1,64,734,2816,187,259,1,2726,159,734,249
45,SRR10120188,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,8,1656,2735,1,1,1042,2816,955,455,1,2726,10,455,1124
46,SRR10120190,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,22,1656,2735,1,1,1042,2816,955,455,1,2726,47,455,1124
47,SRR10120191,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
48,SRR10120197,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,6,4,2,3,7,1656,2735,4,5,1042,2816,955,455,1,2726,681,455,1124
49,SRR10133041,2019,2820,2820,5,2726,2820,2820,1656,1611,1656,2726,15,15,5,2,557,1656,2735,15,473,1042,2816,955,557,1,2726,681,557,1124
50,SRR10133060,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,2,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
51,SRR10133063,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,15,15,1,1,557,1656,2735,15,473,1042,2816,955,557,1,2726,681,557,1124
52,SRR10133081,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,3,1,3,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
53,SRR10133086,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,3,1,1,1,4,1032,2735,2,4,734,2816,187,259,1,2726,159,734,249
54,SRR10198850,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,12,1,1,210,1656,2735,2,59,614,2816,299,306,1,2726,290,614,306
55,SRR10198854,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,1,1,1,557,1656,2735,3,473,1042,2816,955,557,1,2726,681,557,1124
56,SRR10198857,2019,2820,2820,4,2726,2820,2820,1656,1611,1656,2726,377,1,4,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
57,SRR10212129,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,210,1656,2735,1,1,614,2816,299,306,1,2726,290,614,306
58,SRR10212132,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,47,1,2,210,1656,2735,73,107,614,2816,299,306,2,2726,290,614,306
59,SRR10212135,2019,2820,2820,4,2726,2820,2820,1656,1611,1656,2726,377,163,4,3,557,1656,2735,394,473,1042,2816,955,557,2,2726,681,557,1124
60,SRR10212142,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,93,1032,2735,1,1,185,2816,163,165,1,2726,151,165,164
61,SRR10212145,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,6,8,1,2726,6,734,6
62,SRR10212151,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,1,1,1,210,1656,2735,14,59,614,2816,299,306,1,2726,290,614,306
63,SRR10212152,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,14,1,1,1,14,1032,2735,2,14,113,2816,15,25,1,2726,14,28,14
64,SRR10212177,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
65,SRR10212189,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,118,1032,2735,1,64,734,2816,187,259,1,2726,159,734,249
66,SRR10212206,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
67,SRR10212208,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,21,8,1,1,22,1032,2735,18,21,734,2816,103,128,1,2726,21,734,124
68,SRR10212215,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,3,1,1,1,4,1032,2735,2,4,734,2816,187,259,1,2726,159,734,249
69,SRR10212222,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,1,1,1,6,1656,2735,1,1,614,2816,6,126,1,2726,6,614,6
70,SRR10212223,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,10,7,2,1,11,1656,2735,11,11,614,2816,91,127,1,2726,77,614,79
71,SRR10212224,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,1,210,1656,2735,2,2,614,2816,299,306,1,2726,290,614,306
72,SRR10212225,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,12,1,1,1,31,1656,2735,7,19,1042,2816,33,455,1,2726,33,455,1124
73,SRR10212226,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,163,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
74,SRR10219454,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
75,SRR10219470,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,8,1,1,1,11,1656,2735,1,8,614,2816,299,306,1,2726,290,614,306
76,SRR10219474,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,20,455,1124
77,SRR10228131,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,1,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
78,SRR10228149,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,1,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
79,SRR10228151,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
80,SRR10228154,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,19,95,1,2726,15,734,21
81,SRR10228158,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,29,1,1,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
82,SRR10228160,2019,2820,2820,4,2726,2820,2820,1656,1611,1656,2726,377,163,4,3,557,1656,2735,394,473,1042,2816,955,557,2,2726,681,557,1124
83,SRR10228164,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,11,163,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
84,SRR10228169,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,47,1,1,1,210,1656,2735,2,59,614,2816,299,306,1,2726,290,614,306
85,SRR10228512,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,47,1,1,210,1656,2735,1,107,614,2816,299,306,1,2726,290,614,306
86,SRR10228514,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,4,3,1,1,210,1656,2735,4,107,614,2816,299,306,1,2726,290,614,306
87,SRR10228515,2019,2820,2820,1,2726,2820,2820,1032,20,1005,2726,1,1,1,1,4,1032,2735,1,1,734,2816,7,21,1,2726,4,734,7
88,SRR10228516,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,56,29,2,2,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
89,SRR10228517,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,47,1,2,210,1656,2735,73,107,614,2816,299,306,2,2726,290,614,306
90,SRR10228527,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
91,SRR10228554,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,3,1,1,210,1656,2735,73,107,614,2816,299,306,1,2726,290,614,306
92,SRR10228563,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,5,1656,2735,1,1,1042,2816,6,455,1,2726,6,455,1124
93,SRR10228564,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,7,5,1,1,22,1656,2735,1,5,1042,2816,955,455,1,2726,47,455,1124
94,SRR10231898,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,13,1656,2735,1,1,1042,2816,955,455,1,2726,34,455,1124
95,SRR10231904,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,5,455,1124
96,SRR10231913,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,10,1,2,1,11,1656,2735,11,11,614,2816,91,127,1,2726,77,614,79
97,SRR10231915,2019,2820,2820,1,75,2820,2820,20,17,18,78,1,1,1,1,1,20,78,1,1,20,2816,16,20,1,70,1,20,14
98,SRR10231919,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,3,1656,2735,1,2,1042,2816,955,455,1,2726,3,455,1124
99,SRR10236641,2019,2820,2820,1,2726,2820,2820,1032,20,1005,2726,1,1,1,1,16,1032,2735,1,1,734,2816,31,38,1,2726,16,734,20
100,SRR10236643,2019,2820,2820,5,2726,2820,2820,1656,1611,1656,2726,15,15,5,2,557,1656,2735,15,473,1042,2816,955,557,1,2726,681,557,1124
101,SRR10236644,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,2,8,1,2726,1,734,2
102,SRR10236645,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,2,1,1,2,1032,2735,2,2,734,2816,36,36,1,2726,3,734,36
103,SRR10236651,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,48,4,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
104,SRR10236652,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,210,1656,2735,73,107,614,2816,299,306,1,2726,290,614,306
105,SRR10247126,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,113,2816,8,25,1,2726,1,28,8
106,SRR10247130,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,10,1,4,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
107,SRR10247134,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,13,1656,2735,1,6,1042,2816,955,455,1,2726,34,455,1124
108,SRR10247137,2019,2820,2820,1,2726,2820,2820,1032,20,1005,2726,1,1,1,1,4,1032,2735,1,1,734,2816,7,21,1,2726,4,734,7
109,SRR10247303,2019,2820,2820,1,2726,2820,2820,1656,43,1656,2726,1,1,1,1,7,1656,2735,1,1,614,2816,44,45,1,2726,11,614,42
110,SRR10247320,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1
111,SRR10247325,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
112,SRR10247333,2019,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,377,4,3,4,557,1656,2735,4,473,1042,2816,955,557,1,2726,681,557,1124
113,SRR10247336,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,10,1,1,1,11,1656,2735,11,11,614,2816,91,127,1,2726,77,614,79
114,SRR10247341,2019,2820,2820,8,2726,2820,2820,1656,1611,1656,2726,377,11,8,6,557,1656,2735,394,473,1042,2816,955,557,2,2726,681,557,1124
115,SRR10247343,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,16,13,1,4,16,1032,2735,13,16,185,2816,163,165,1,2726,151,165,164
116,SRR10247353,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,29,1,1,118,1032,2735,2,64,734,2816,187,259,1,2726,159,734,249
117,SRR10247355,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,19,95,1,2726,15,734,21
118,SRR10247373,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,1,1,1,210,1656,2735,2,107,614,2816,299,306,1,2726,290,614,306
119,SRR10270574,2019,2820,2820,1,75,2820,2820,4,3,3,78,1,1,1,1,1,4,78,1,1,4,2816,2,3,1,70,2,4,3
120,SRR10270580,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,6,4,1,2,210,1656,2735,6,59,614,2816,299,306,1,2726,290,614,306
121,SRR10271367,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
122,SRR10271371,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,13,1656,2735,1,6,1042,2816,955,455,1,2726,34,455,1124
123,SRR10271372,2019,2820,2820,8,2726,2820,2820,1656,1611,1656,2726,377,11,8,6,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
124,SRR10283332,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,47,455,1124
125,SRR10302287,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,11,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
126,SRR10302325,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,42,1032,2735,1,31,734,2816,103,128,1,2726,47,734,124
127,SRR10302326,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,56,29,2,2,118,1032,2735,43,64,734,2816,187,259,1,2726,159,734,249
128,SRR10302327,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,2,1656,2735,1,1,1042,2816,955,455,1,2726,2,455,1124
129,SRR10312182,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,1,455,1124
130,SRR10312194,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
131,SRR10312197,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,681,455,1124
132,SRR10312216,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,1,1032,2735,1,1,734,2816,19,27,1,2726,1,734,24
133,SRR10313628,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,9,455,1124
134,SRR10313630,2019,2820,2820,1,2726,2820,2820,1032,20,1005,2726,2,1,1,1,2,1032,2735,2,2,734,2816,31,38,1,2726,16,734,20
135,SRR10313634,2019,2820,2820,1,2726,2820,2820,1032,20,1005,2726,2,1,1,1,2,1032,2735,2,2,734,2816,31,38,1,2726,16,734,20
136,SRR10313638,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,2,1,2,118,1032,2735,3,3,734,2816,187,259,1,2726,159,734,249
137,SRR10314873,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,557,1656,2735,1,1,1042,2816,955,557,1,2726,681,557,1124
138,SRR10314883,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,5,5,1,1,5,1032,2735,5,5,734,2816,36,36,1,2726,5,734,36
139,SRR10314892,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,2,455,1124
140,SRR10319756,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,1,1,1,210,1656,2735,1,3,614,2816,299,306,1,2726,290,614,306
141,SRR10319758,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,3,1,3,78,1656,2735,3,6,614,2816,83,126,2,2726,77,614,1124
142,SRR10319759,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,3,1,3,78,1656,2735,3,6,614,2816,83,126,2,2726,77,614,1124
143,SRR10319760,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,56,3,1,3,118,1032,2735,43,64,734,2816,187,259,2,2726,159,734,249
144,SRR10326061,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,2,2,1,1,2,1656,2735,2,2,1042,2816,3,455,1,2726,3,455,1124
145,SRR10350825,2019,2820,2820,2,2726,2820,2820,1032,20,1005,2726,2,2,2,2,2,1032,2735,2,2,734,2816,7,21,1,2726,3,734,7
146,SRR10350838,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,16,13,1,1,16,1032,2735,13,16,185,2816,163,165,1,2726,151,165,164
147,SRR10352163,2019,2820,2820,1,9,2820,2820,9,9,9,9,1,1,1,1,2,9,2735,1,1,9,2816,3,9,1,9,3,9,4
148,SRR10352168,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,3,1,1,1,18,1656,2735,3,3,1042,2816,19,455,1,2726,681,455,1124
149,SRR10357090,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,1042,2816,955,455,1,2726,10,455,1124
150,SRR10357098,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,4,1,4,557,1656,2735,4,473,1042,2816,955,557,1,2726,681,557,1124
151,SRR10380797,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,1,1,1,1,118,1032,2735,1,1,734,2816,187,259,1,2726,159,734,249
152,SRR10380815,2019,2820,2820,2,2726,2820,2820,1656,1611,1656,2726,10,7,2,1,11,1656,2735,11,11,614,2816,91,127,1,2726,77,614,79
153,SRR10380818,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,10,1,4,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
154,SRR10386489,2019,2820,2820,2,2726,2820,2820,1032,859,1005,2726,4,4,2,1,34,1032,2735,2,33,734,2816,34,95,1,2726,33,734,33
155,SRR10386568,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,17,15,1,1,557,1656,2735,18,473,1042,2816,955,557,1,2726,681,557,1124
156,SRR10397392,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,377,1,1,1,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
157,SRR10397400,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,1,1656,2735,1,1,614,2816,299,306,1,2726,290,614,306
158,SRR10397405,2019,2820,2820,4,2726,2820,2820,1656,1611,1656,2726,377,163,4,3,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
159,SRR10397409,2019,2820,2820,8,2726,2820,2820,1656,1611,1656,2726,377,11,8,6,557,1656,2735,394,473,1042,2816,955,557,1,2726,681,557,1124
160,SRR10397410,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,43,30,1,1,557,1656,2735,42,45,1042,2816,955,557,1,2726,681,557,1124
161,SRR10397415,2019,2820,2820,3,2726,2820,2820,1656,1611,1656,2726,4,3,3,3,4,1656,2735,3,3,614,2816,299,306,1,2726,290,614,306
162,SRR10397416,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,91,1,1,1,210,1656,2735,1,107,614,2816,299,306,1,2726,290,614,306
163,SRR10397421,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,1,1,1,1,13,1656,2735,1,1,1042,2816,955,455,1,2726,34,455,1124
164,SRR10397428,2019,2820,2820,1,2726,2820,2820,1656,1611,1656,2726,14,2,1,1,69,1656,2735,2,14,614,2816,91,127,1,2726,77,614,79
165,SRR10397429,2019,2820,2820,1,75,2820,2820,20,17,18,78,1,1,1,1,1,20,78,1,1,20,2816,16,20,1,70,1,20,14
166,SRR10397433,2019,2820,2820,1,2726,2820,2820,1032,859,1005,2726,2,1,1,1,118,1032,2735,1,64,734,2816,187,259,1,2726,159,734,249
