,Rows:Columns,Difference,Pecentage difference,Frequency excess columns,Number of excess columns,Average excess
Sub-Clade - HC5,24:1030,1006,0.9766990291262136,22,1028,46.72727272727273
Sub-Clade - HC10,24:607,583,0.9604612850082372,20,603,30.15
Sub-Clade - HC20,24:217,193,0.8894009216589862,19,212,11.157894736842104
Sub-Clade - HC50,24:33,9,0.2727272727272727,6,37,6.166666666666667
Sub-Clade - HC100,24:11,13,0.5416666666666666,6,22,3.6666666666666665
Sub-Clade - HC200,24:6,18,0.75,6,16,2.6666666666666665
Sub-Clade - HC400,24:2,22,0.9166666666666666,1,2,2.0
Sub-Clade - HC1100 (cgST Cplx),24:1,23,0.9583333333333334,0,0,na
Sub-Clade - HC1500,24:1,23,0.9583333333333334,0,0,na
Sub-Clade - HC2000,24:1,23,0.9583333333333334,0,0,na
Sub-Clade - HC2350 (subsp.),24:1,23,0.9583333333333334,0,0,na
Sub-sub-Clade - Genotype,3:60,57,0.95,3,60,20.0
Sub-sub-Clade - Lineage,3:4,1,0.25,1,4,4.0
Sub-sub-Clade - Clade,3:10,7,0.7,2,12,6.0
Sub-sub-Clade - Sub-Clade,3:24,21,0.875,2,25,12.5
Sub-sub-Clade - Sub-sub-sub-Clade,3:5,2,0.4,2,7,3.5
Sub-sub-Clade - SNP Address,3:2250,2247,0.9986666666666667,3,2251,750.3333333333334
Sub-sub-Clade - 250 SNP Threshold,3:7,4,0.5714285714285714,1,7,7.0
Sub-sub-Clade - 100 SNP Threshold,3:61,58,0.9508196721311475,3,64,21.333333333333332
Sub-sub-Clade - 50 SNP Threshold,3:191,188,0.9842931937172775,3,192,64.0
Sub-sub-Clade - 25 SNP Threshold,3:465,462,0.9935483870967742,3,467,155.66666666666666
Sub-sub-Clade - 10 SNP Threshold,3:958,955,0.9968684759916493,3,960,320.0
Sub-sub-Clade - 5 SNP Threshold,3:1276,1273,0.9976489028213166,3,1279,426.3333333333333
Sub-sub-Clade - 0 SNP Threshold,3:2250,2247,0.9986666666666667,3,2251,750.3333333333334
Sub-sub-Clade - ST,3:2656,2653,0.9988704819277109,3,2656,885.3333333333334
Sub-sub-Clade - HC0 (indistinguishable),3:2289,2286,0.9986893840104849,3,2289,763.0
Sub-sub-Clade - HC2,3:1489,1486,0.9979852249832102,3,1489,496.3333333333333
Sub-sub-Clade - HC5,3:1030,1027,0.9970873786407767,3,1030,343.3333333333333
Sub-sub-Clade - HC10,3:607,604,0.9950576606260296,3,607,202.33333333333334
Sub-sub-Clade - HC20,3:217,214,0.9861751152073732,3,217,72.33333333333333
Sub-sub-Clade - HC50,3:33,30,0.9090909090909091,2,35,17.5
Sub-sub-Clade - HC100,3:11,8,0.7272727272727273,1,11,11.0
Sub-sub-Clade - HC200,3:6,3,0.5,1,6,6.0
Sub-sub-Clade - HC400,3:2,1,0.3333333333333333,1,2,2.0
Sub-sub-Clade - HC1100 (cgST Cplx),3:1,2,0.6666666666666666,0,0,na
Sub-sub-Clade - HC1500,3:1,2,0.6666666666666666,0,0,na
Sub-sub-Clade - HC2000,3:1,2,0.6666666666666666,0,0,na
Sub-sub-Clade - HC2350 (subsp.),3:1,2,0.6666666666666666,0,0,na
Sub-sub-sub-Clade - Genotype,5:60,55,0.9166666666666666,5,60,12.0
Sub-sub-sub-Clade - Lineage,5:4,1,0.2,1,4,4.0
Sub-sub-sub-Clade - Clade,5:10,5,0.5,3,14,4.666666666666667
Sub-sub-sub-Clade - Sub-Clade,5:24,19,0.7916666666666666,3,28,9.333333333333334
Sub-sub-sub-Clade - Sub-sub-Clade,5:3,2,0.4,2,5,2.5
Sub-sub-sub-Clade - SNP Address,5:2250,2245,0.9977777777777778,5,2251,450.2
Sub-sub-sub-Clade - 250 SNP Threshold,5:7,2,0.2857142857142857,1,7,7.0
Sub-sub-sub-Clade - 100 SNP Threshold,5:61,56,0.9180327868852459,3,65,21.666666666666668
Sub-sub-sub-Clade - 50 SNP Threshold,5:191,186,0.9738219895287958,4,194,48.5
Sub-sub-sub-Clade - 25 SNP Threshold,5:465,460,0.989247311827957,5,467,93.4
Sub-sub-sub-Clade - 10 SNP Threshold,5:958,953,0.9947807933194155,5,959,191.8
Sub-sub-sub-Clade - 5 SNP Threshold,5:1276,1271,0.9960815047021944,5,1278,255.6
Sub-sub-sub-Clade - 0 SNP Threshold,5:2250,2245,0.9977777777777778,5,2251,450.2
Sub-sub-sub-Clade - ST,5:2656,2651,0.9981174698795181,5,2656,531.2
Sub-sub-sub-Clade - HC0 (indistinguishable),5:2289,2284,0.9978156400174749,5,2289,457.8
Sub-sub-sub-Clade - HC2,5:1489,1484,0.9966420416386836,5,1489,297.8
Sub-sub-sub-Clade - HC5,5:1030,1025,0.9951456310679612,5,1030,206.0
Sub-sub-sub-Clade - HC10,5:607,602,0.9917627677100495,5,607,121.4
Sub-sub-sub-Clade - HC20,5:217,212,0.9769585253456221,4,221,55.25
Sub-sub-sub-Clade - HC50,5:33,28,0.8484848484848485,3,37,12.333333333333334
Sub-sub-sub-Clade - HC100,5:11,6,0.5454545454545454,1,11,11.0
Sub-sub-sub-Clade - HC200,5:6,1,0.16666666666666666,1,6,6.0
Sub-sub-sub-Clade - HC400,5:2,3,0.6,1,2,2.0
Sub-sub-sub-Clade - HC1100 (cgST Cplx),5:1,4,0.8,0,0,na
Sub-sub-sub-Clade - HC1500,5:1,4,0.8,0,0,na
Sub-sub-sub-Clade - HC2000,5:1,4,0.8,0,0,na
Sub-sub-sub-Clade - HC2350 (subsp.),5:1,4,0.8,0,0,na
SNP Address - Genotype,2250:60,2190,0.9733333333333334,1,2,2.0
SNP Address - Lineage,2250:4,2246,0.9982222222222222,0,0,na
SNP Address - Clade,2250:10,2240,0.9955555555555555,1,2,2.0
SNP Address - Sub-Clade,2250:24,2226,0.9893333333333333,1,2,2.0
SNP Address - Sub-sub-Clade,2250:3,2247,0.9986666666666667,1,2,2.0
SNP Address - Sub-sub-sub-Clade,2250:5,2245,0.9977777777777778,1,2,2.0
SNP Address - 250 SNP Threshold,2250:7,2243,0.9968888888888889,0,0,na
SNP Address - 100 SNP Threshold,2250:61,2189,0.9728888888888889,0,0,na
SNP Address - 50 SNP Threshold,2250:191,2059,0.9151111111111111,0,0,na
SNP Address - 25 SNP Threshold,2250:465,1785,0.7933333333333333,0,0,na
SNP Address - 10 SNP Threshold,2250:958,1292,0.5742222222222222,0,0,na
SNP Address - 5 SNP Threshold,2250:1276,974,0.4328888888888889,0,0,na
SNP Address - 0 SNP Threshold,2250:2250,0,na,0,0,na
SNP Address - ST,2250:2656,406,0.15286144578313254,261,737,2.8237547892720305
SNP Address - HC0 (indistinguishable),2250:2289,39,0.01703800786369594,165,410,2.484848484848485
SNP Address - HC2,2250:1489,761,0.3382222222222222,32,65,2.03125
SNP Address - HC5,2250:1030,1220,0.5422222222222223,6,12,2.0
SNP Address - HC10,2250:607,1643,0.7302222222222222,3,6,2.0
SNP Address - HC20,2250:217,2033,0.9035555555555556,1,2,2.0
SNP Address - HC50,2250:33,2217,0.9853333333333333,1,2,2.0
SNP Address - HC100,2250:11,2239,0.9951111111111111,0,0,na
SNP Address - HC200,2250:6,2244,0.9973333333333333,0,0,na
SNP Address - HC400,2250:2,2248,0.9991111111111111,0,0,na
SNP Address - HC1100 (cgST Cplx),2250:1,2249,0.9995555555555555,0,0,na
SNP Address - HC1500,2250:1,2249,0.9995555555555555,0,0,na
SNP Address - HC2000,2250:1,2249,0.9995555555555555,0,0,na
SNP Address - HC2350 (subsp.),2250:1,2249,0.9995555555555555,0,0,na
250 SNP Threshold - Genotype,7:60,53,0.8833333333333333,3,57,19.0
250 SNP Threshold - Lineage,7:4,3,0.42857142857142855,0,0,na
250 SNP Threshold - Clade,7:10,3,0.3,2,12,6.0
250 SNP Threshold - Sub-Clade,7:24,17,0.7083333333333334,3,32,10.666666666666666
250 SNP Threshold - Sub-sub-Clade,7:3,4,0.5714285714285714,1,3,3.0
250 SNP Threshold - Sub-sub-sub-Clade,7:5,2,0.2857142857142857,1,5,5.0
250 SNP Threshold - SNP Address,7:2250,2243,0.9968888888888889,6,2249,374.8333333333333
250 SNP Threshold - 100 SNP Threshold,7:61,54,0.8852459016393442,4,58,14.5
250 SNP Threshold - 50 SNP Threshold,7:191,184,0.9633507853403142,6,190,31.666666666666668
250 SNP Threshold - 25 SNP Threshold,7:465,458,0.9849462365591398,6,464,77.33333333333333
250 SNP Threshold - 10 SNP Threshold,7:958,951,0.9926931106471816,6,957,159.5
250 SNP Threshold - 5 SNP Threshold,7:1276,1269,0.9945141065830722,6,1275,212.5
250 SNP Threshold - 0 SNP Threshold,7:2250,2243,0.9968888888888889,6,2249,374.8333333333333
250 SNP Threshold - ST,7:2656,2649,0.9973644578313253,6,2655,442.5
250 SNP Threshold - HC0 (indistinguishable),7:2289,2282,0.9969418960244648,6,2288,381.3333333333333
250 SNP Threshold - HC2,7:1489,1482,0.9952988582941572,6,1488,248.0
250 SNP Threshold - HC5,7:1030,1023,0.9932038834951457,6,1029,171.5
250 SNP Threshold - HC10,7:607,600,0.9884678747940692,6,606,101.0
250 SNP Threshold - HC20,7:217,210,0.967741935483871,6,216,36.0
250 SNP Threshold - HC50,7:33,26,0.7878787878787878,3,29,9.666666666666666
250 SNP Threshold - HC100,7:11,4,0.36363636363636365,1,5,5.0
250 SNP Threshold - HC200,7:6,1,0.14285714285714285,0,0,na
250 SNP Threshold - HC400,7:2,5,0.7142857142857143,0,0,na
250 SNP Threshold - HC1100 (cgST Cplx),7:1,6,0.8571428571428571,0,0,na
250 SNP Threshold - HC1500,7:1,6,0.8571428571428571,0,0,na
250 SNP Threshold - HC2000,7:1,6,0.8571428571428571,0,0,na
250 SNP Threshold - HC2350 (subsp.),7:1,6,0.8571428571428571,0,0,na
100 SNP Threshold - Genotype,61:60,1,0.01639344262295082,4,38,9.5
100 SNP Threshold - Lineage,61:4,57,0.9344262295081968,0,0,na
100 SNP Threshold - Clade,61:10,51,0.8360655737704918,2,5,2.5
100 SNP Threshold - Sub-Clade,61:24,37,0.6065573770491803,4,27,6.75
100 SNP Threshold - Sub-sub-Clade,61:3,58,0.9508196721311475,2,5,2.5
100 SNP Threshold - Sub-sub-sub-Clade,61:5,56,0.9180327868852459,2,8,4.0
100 SNP Threshold - SNP Address,61:2250,2189,0.9728888888888889,29,2218,76.48275862068965
100 SNP Threshold - 250 SNP Threshold,61:7,54,0.8852459016393442,0,0,na
100 SNP Threshold - 50 SNP Threshold,61:191,130,0.680628272251309,20,150,7.5
100 SNP Threshold - 25 SNP Threshold,61:465,404,0.8688172043010752,24,428,17.833333333333332
100 SNP Threshold - 10 SNP Threshold,61:958,897,0.9363256784968684,27,924,34.22222222222222
100 SNP Threshold - 5 SNP Threshold,61:1276,1215,0.9521943573667712,27,1242,46.0
100 SNP Threshold - 0 SNP Threshold,61:2250,2189,0.9728888888888889,29,2218,76.48275862068965
100 SNP Threshold - ST,61:2656,2595,0.9770331325301205,29,2624,90.48275862068965
100 SNP Threshold - HC0 (indistinguishable),61:2289,2228,0.9733508082131935,29,2259,77.89655172413794
100 SNP Threshold - HC2,61:1489,1428,0.9590329079919409,28,1461,52.17857142857143
100 SNP Threshold - HC5,61:1030,969,0.9407766990291262,27,1003,37.148148148148145
100 SNP Threshold - HC10,61:607,546,0.899505766062603,24,581,24.208333333333332
100 SNP Threshold - HC20,61:217,156,0.7188940092165899,23,191,8.304347826086957
100 SNP Threshold - HC50,61:33,28,0.45901639344262296,2,7,3.5
100 SNP Threshold - HC100,61:11,50,0.819672131147541,0,0,na
100 SNP Threshold - HC200,61:6,55,0.9016393442622951,0,0,na
100 SNP Threshold - HC400,61:2,59,0.9672131147540983,0,0,na
100 SNP Threshold - HC1100 (cgST Cplx),61:1,60,0.9836065573770492,0,0,na
100 SNP Threshold - HC1500,61:1,60,0.9836065573770492,0,0,na
100 SNP Threshold - HC2000,61:1,60,0.9836065573770492,0,0,na
100 SNP Threshold - HC2350 (subsp.),61:1,60,0.9836065573770492,0,0,na
50 SNP Threshold - Genotype,191:60,131,0.6858638743455497,5,17,3.4
50 SNP Threshold - Lineage,191:4,187,0.9790575916230366,0,0,na
50 SNP Threshold - Clade,191:10,181,0.9476439790575916,3,6,2.0
50 SNP Threshold - Sub-Clade,191:24,167,0.8743455497382199,3,7,2.3333333333333335
50 SNP Threshold - Sub-sub-Clade,191:3,188,0.9842931937172775,1,2,2.0
50 SNP Threshold - Sub-sub-sub-Clade,191:5,186,0.9738219895287958,2,6,3.0
50 SNP Threshold - SNP Address,191:2250,2059,0.9151111111111111,78,2137,27.397435897435898
50 SNP Threshold - 250 SNP Threshold,191:7,184,0.9633507853403142,0,0,na
50 SNP Threshold - 100 SNP Threshold,191:61,130,0.680628272251309,0,0,na
50 SNP Threshold - 25 SNP Threshold,191:465,274,0.589247311827957,51,325,6.372549019607843
50 SNP Threshold - 10 SNP Threshold,191:958,767,0.8006263048016702,67,834,12.447761194029852
50 SNP Threshold - 5 SNP Threshold,191:1276,1085,0.8503134796238244,70,1155,16.5
50 SNP Threshold - 0 SNP Threshold,191:2250,2059,0.9151111111111111,78,2137,27.397435897435898
50 SNP Threshold - ST,191:2656,2465,0.9280873493975904,79,2546,32.22784810126582
50 SNP Threshold - HC0 (indistinguishable),191:2289,2098,0.9165574486675404,78,2181,27.96153846153846
50 SNP Threshold - HC2,191:1489,1298,0.8717259905977166,74,1381,18.66216216216216
50 SNP Threshold - HC5,191:1030,839,0.8145631067961165,67,920,13.73134328358209
50 SNP Threshold - HC10,191:607,416,0.685337726523888,54,490,9.074074074074074
50 SNP Threshold - HC20,191:217,26,0.11981566820276497,25,86,3.44
50 SNP Threshold - HC50,191:33,158,0.8272251308900523,3,6,2.0
50 SNP Threshold - HC100,191:11,180,0.9424083769633508,0,0,na
50 SNP Threshold - HC200,191:6,185,0.9685863874345549,0,0,na
50 SNP Threshold - HC400,191:2,189,0.9895287958115183,0,0,na
50 SNP Threshold - HC1100 (cgST Cplx),191:1,190,0.9947643979057592,0,0,na
50 SNP Threshold - HC1500,191:1,190,0.9947643979057592,0,0,na
50 SNP Threshold - HC2000,191:1,190,0.9947643979057592,0,0,na
50 SNP Threshold - HC2350 (subsp.),191:1,190,0.9947643979057592,0,0,na
25 SNP Threshold - Genotype,465:60,405,0.8709677419354839,5,14,2.8
25 SNP Threshold - Lineage,465:4,461,0.9913978494623656,0,0,na
25 SNP Threshold - Clade,465:10,455,0.978494623655914,3,6,2.0
25 SNP Threshold - Sub-Clade,465:24,441,0.9483870967741935,3,7,2.3333333333333335
25 SNP Threshold - Sub-sub-Clade,465:3,462,0.9935483870967742,2,4,2.0
25 SNP Threshold - Sub-sub-sub-Clade,465:5,460,0.989247311827957,1,3,3.0
25 SNP Threshold - SNP Address,465:2250,1785,0.7933333333333333,152,1937,12.743421052631579
25 SNP Threshold - 250 SNP Threshold,465:7,458,0.9849462365591398,0,0,na
25 SNP Threshold - 100 SNP Threshold,465:61,404,0.8688172043010752,0,0,na
25 SNP Threshold - 50 SNP Threshold,465:191,274,0.589247311827957,0,0,na
25 SNP Threshold - 10 SNP Threshold,465:958,493,0.5146137787056367,110,604,5.490909090909091
25 SNP Threshold - 5 SNP Threshold,465:1276,811,0.6355799373040752,120,932,7.766666666666667
25 SNP Threshold - 0 SNP Threshold,465:2250,1785,0.7933333333333333,152,1937,12.743421052631579
25 SNP Threshold - ST,465:2656,2191,0.8249246987951807,159,2352,14.79245283018868
25 SNP Threshold - HC0 (indistinguishable),465:2289,1824,0.7968545216251638,150,1980,13.2
25 SNP Threshold - HC2,465:1489,1024,0.6877098723975823,131,1167,8.908396946564885
25 SNP Threshold - HC5,465:1030,565,0.5485436893203883,106,690,6.509433962264151
25 SNP Threshold - HC10,465:607,142,0.23393739703459637,56,243,4.339285714285714
25 SNP Threshold - HC20,465:217,248,0.5333333333333333,5,14,2.8
25 SNP Threshold - HC50,465:33,432,0.9290322580645162,3,6,2.0
25 SNP Threshold - HC100,465:11,454,0.9763440860215054,0,0,na
25 SNP Threshold - HC200,465:6,459,0.9870967741935484,0,0,na
25 SNP Threshold - HC400,465:2,463,0.9956989247311828,0,0,na
25 SNP Threshold - HC1100 (cgST Cplx),465:1,464,0.9978494623655914,0,0,na
25 SNP Threshold - HC1500,465:1,464,0.9978494623655914,0,0,na
25 SNP Threshold - HC2000,465:1,464,0.9978494623655914,0,0,na
25 SNP Threshold - HC2350 (subsp.),465:1,464,0.9978494623655914,0,0,na
10 SNP Threshold - Genotype,958:60,898,0.9373695198329853,4,9,2.25
10 SNP Threshold - Lineage,958:4,954,0.9958246346555324,0,0,na
10 SNP Threshold - Clade,958:10,948,0.9895615866388309,2,4,2.0
10 SNP Threshold - Sub-Clade,958:24,934,0.9749478079331941,3,7,2.3333333333333335
10 SNP Threshold - Sub-sub-Clade,958:3,955,0.9968684759916493,2,4,2.0
10 SNP Threshold - Sub-sub-sub-Clade,958:5,953,0.9947807933194155,1,2,2.0
10 SNP Threshold - SNP Address,958:2250,1292,0.5742222222222222,220,1512,6.872727272727273
10 SNP Threshold - 250 SNP Threshold,958:7,951,0.9926931106471816,0,0,na
10 SNP Threshold - 100 SNP Threshold,958:61,897,0.9363256784968684,0,0,na
10 SNP Threshold - 50 SNP Threshold,958:191,767,0.8006263048016702,0,0,na
10 SNP Threshold - 25 SNP Threshold,958:465,493,0.5146137787056367,1,2,2.0
10 SNP Threshold - 5 SNP Threshold,958:1276,318,0.24921630094043887,123,441,3.5853658536585367
10 SNP Threshold - 0 SNP Threshold,958:2250,1292,0.5742222222222222,220,1512,6.872727272727273
10 SNP Threshold - ST,958:2656,1698,0.6393072289156626,247,1948,7.886639676113361
10 SNP Threshold - HC0 (indistinguishable),958:2289,1331,0.581476627348187,228,1566,6.868421052631579
10 SNP Threshold - HC2,958:1489,531,0.35661517797179315,157,706,4.496815286624204
10 SNP Threshold - HC5,958:1030,72,0.06990291262135923,73,226,3.095890410958904
10 SNP Threshold - HC10,958:607,351,0.3663883089770355,9,24,2.6666666666666665
10 SNP Threshold - HC20,958:217,741,0.7734864300626305,4,9,2.25
10 SNP Threshold - HC50,958:33,925,0.965553235908142,2,4,2.0
10 SNP Threshold - HC100,958:11,947,0.988517745302714,0,0,na
10 SNP Threshold - HC200,958:6,952,0.9937369519832986,0,0,na
10 SNP Threshold - HC400,958:2,956,0.9979123173277662,0,0,na
10 SNP Threshold - HC1100 (cgST Cplx),958:1,957,0.9989561586638831,0,0,na
10 SNP Threshold - HC1500,958:1,957,0.9989561586638831,0,0,na
10 SNP Threshold - HC2000,958:1,957,0.9989561586638831,0,0,na
10 SNP Threshold - HC2350 (subsp.),958:1,957,0.9989561586638831,0,0,na
5 SNP Threshold - Genotype,1276:60,1216,0.9529780564263323,5,10,2.0
5 SNP Threshold - Lineage,1276:4,1272,0.9968652037617555,0,0,na
5 SNP Threshold - Clade,1276:10,1266,0.9921630094043887,2,4,2.0
5 SNP Threshold - Sub-Clade,1276:24,1252,0.9811912225705329,4,8,2.0
5 SNP Threshold - Sub-sub-Clade,1276:3,1273,0.9976489028213166,3,6,2.0
5 SNP Threshold - Sub-sub-sub-Clade,1276:5,1271,0.9960815047021944,2,4,2.0
5 SNP Threshold - SNP Address,1276:2250,974,0.4328888888888889,220,1194,5.427272727272728
5 SNP Threshold - 250 SNP Threshold,1276:7,1269,0.9945141065830722,0,0,na
5 SNP Threshold - 100 SNP Threshold,1276:61,1215,0.9521943573667712,0,0,na
5 SNP Threshold - 50 SNP Threshold,1276:191,1085,0.8503134796238244,0,0,na
5 SNP Threshold - 25 SNP Threshold,1276:465,811,0.6355799373040752,1,2,2.0
5 SNP Threshold - 10 SNP Threshold,1276:958,318,0.24921630094043887,0,0,na
5 SNP Threshold - 0 SNP Threshold,1276:2250,974,0.4328888888888889,220,1194,5.427272727272728
5 SNP Threshold - ST,1276:2656,1380,0.5195783132530121,272,1656,6.088235294117647
5 SNP Threshold - HC0 (indistinguishable),1276:2289,1013,0.44255133245958933,234,1265,5.405982905982906
5 SNP Threshold - HC2,1276:1489,213,0.1430490261920752,113,396,3.504424778761062
5 SNP Threshold - HC5,1276:1030,246,0.19278996865203762,31,79,2.5483870967741935
5 SNP Threshold - HC10,1276:607,669,0.524294670846395,8,18,2.25
5 SNP Threshold - HC20,1276:217,1059,0.8299373040752351,5,10,2.0
5 SNP Threshold - HC50,1276:33,1243,0.9741379310344828,2,4,2.0
5 SNP Threshold - HC100,1276:11,1265,0.9913793103448276,0,0,na
5 SNP Threshold - HC200,1276:6,1270,0.9952978056426333,0,0,na
5 SNP Threshold - HC400,1276:2,1274,0.9984326018808778,0,0,na
